QTY,Item Code,Description,Unit Price(inc-GST),Total(inc-GST)
1,9310704909723,Bond St Blue 20/200,229.67,$229.67
1,9310704909860,Bond St Red 40/160,177.71,$177.71
1,9310797002516,B&H Smooth 25/200,285.19,$285.19
1,9310797002011,B&H Classic 25/200,285.19,$285.19
1,9310704910385,Choice Signature Classic20/200,199.24,$199.24
1,9310797282673,Dunhill Distinct Blue 23/184,259.25,$259.25
1,793579740841,Euro Red 20/200,186.50,$186.50
3,793579740858,Euro Blue 20/200,186.50,$559.50
1,9327329011403,Horizon Red 20/200 93mm,222.01,$222.01
1,9327329003538,Horizon Orange 30/180,199.96,$199.96
1,5000432001731,JPS Superkings Menthol 20/200,244.86,$244.86
1,9327329012257,JPS Crushball Blue 25/200,224.24,$224.24
1,9327329011021,JPS Blue 30/180,194.05,$194.05
1,9327329010161,JPS Blue 40/160,182.26,$182.26
1,9327329013483,Parker & Simpson Blue 20/200,196.67,$196.67
1,9327329013506,Parker & Simpson Gold 20/200,196.67,$196.67
1,PM20B,Pall Mall Blue 20/200,198.42,$198.42
1,9310797281843,Rothmans S/kings Red 20/200,245.76,$245.76
1,9310797281058,Rothmans Gold 20/200,231.49,$231.49
1,9310797281034,Rothmans Blue 20/200,231.49,$231.49
1,9310797281577,Rothmans Menthol 25/200,235.21,$235.21
2,6901028153683,TS Red 20/200,186.50,$373.00
1,9310797247726,Winfield Sky Blue 20/200,273.15,$273.15
1,9310764029584,Winfield Grey 20/200,273.15,$273.15
1,9310797279352,Winfield Optimum Blue 20/200,258.80,$258.80
1,9310797280235,Winfield Optimum Gold 20/200,258.80,$258.80
1,9310797280693,Winfield Jets Blue 23s,175.01,$175.01
1,9310764027139,Winfield Blue 25/200 TFF,270.37,$270.37
1,9310764027535,Winfield Grey 25/200 TFF,270.37,$270.37
1,9310797258562,Winfield Optimum Crush Sky 25,244.07,$244.07
1,9310797258524,Winfield Optimum Crush Blue 25,244.07,$244.07
1,9310797281515,Winfield Gold 30/180,227.50,$227.50
2,9310797283052,Winfield Optimum Crush Blue 30,218.89,$437.78
1,9310797284974,Winfield Max Blue 32/128,153.08,$153.08
5,9327329010215,JPS Endless Blue 25g RYO,34.00,$170.00
5,9327329010628,Champion Ruby 25G RYO,38.00,$190.00
5,9310797281959,Rothmans Blue 20g RYO,27.64,$138.20
5,9327329010758,White Ox 25g RYO,38.36,$191.80
5,9310797281898,Winfield Red 20g RYO,30.91,$154.55
5,9310797281935,Winfield Gold 20G RYO,30.91,$154.55
1,9310797244435,Rollies papers,22.95,$22.95
(5),9310797281911,Winfield Blue 20g RYO credit,30.91,-$154.55
5,9310797281959,Rothmans Blue 20g RYO ***,27.64,$138.20
,,,,"Subtotal inc GST: $9,823.19"
