Line,Product ID,Product Description,IND,Qty,UOM,Pack,Weight,GST%,Cost,Mrgn$,GST$,Total Cost ITEM,Total Val EXTENDED,Landed Unit Cost,SuggSell,GP%
,100981,250GM,,1,CSE,24,6.600 .00,6.600 .00,68.40,,6.600 .00,76.12,76.12,3.17,3.70,14.3
,180648,,P,1,CSE,12,3.400 .00,3.400 .00,38.65,,3.400 .00,43.04,43.04,3.58,4.50,20.3
,136681,,,1,CSE,7,.350  10.00,.350  10.00,12.11,,.350  10.00,14.87,14.87,2.12,3.11,31.7
,176694,,,1,CSE,6,1.400 .00,1.400 .00,15.56,,1.400 .00,17.36,17.36,2.89,5.21,44.5
,882761,2L,,2,CSE,6,26.200 .00,26.200 .00,22.14,,26.200 .00,24.67,49.34,4.11,5.00,17.8
,882614,2L,,1,CSE,6,13.000 .00,13.000 .00,22.14,,13.000 .00,24.67,24.67,4.11,5.00,17.8
,106034,500GM,P,1,CSE,24,12.400 .00,12.400 .00,34.44,,12.400 .00,38.35,38.35,1.59,2.92,45.3
,127828,500GM,,1,CSE,12,8.200 .00,8.200 .00,18.63,,8.200 .00,20.77,20.77,1.73,2.80,38.2
,181678,500GM,,1,CSE,12,6.000 .00,6.000 .00,24.30,,6.000 .00,27.08,27.08,2.25,3.82,40.9
,186636,750GM,,1,CSE,12,10.000 .00,10.000 .00,26.46,,10.000 .00,29.48,29.48,2.45,4.27,42.5
,102399,,P,1,CSE,12,6.100 .00,6.100 .00,20.04,,6.100 .00,22.33,22.33,1.86,2.67,30.3
,146042,500GM,,1,CSE,12,6.000 .00,6.000 .00,21.48,,6.000 .00,23.94,23.94,1.99,3.99,50.0
,154480,260GM,,1,CSE,8,2.550  10.00,2.550  10.00,15.22,,2.550  10.00,18.68,18.68,2.33,3.83,39.0
,154472,,,1,CSE,8,2.550  10.00,2.550  10.00,15.22,,2.550  10.00,18.68,18.68,2.33,3.83,39.0
,143688,650GM,P,1,CSE,6,4.260 .00,4.260 .00,17.76,,4.260 .00,19.79,19.79,3.29,6.84,51.8
,108361,,P,1,CSE,12,3.300  10.00,3.300  10.00,15.97,,3.300  10.00,19.60,19.60,1.63,2.29,28.7
,122886,2L,,1,CSE,6,5.940  10.00,5.940  10.00,26.81,,5.940  10.00,32.86,32.86,5.47,6.61,17.2
,122909,2L,,1,CSE,6,6.210  10.00,6.210  10.00,26.81,,6.210  10.00,32.86,32.86,5.47,6.61,17.2
,114532,,,1,CSE,6,2.100 .00,2.100 .00,39.00,,2.100 .00,43.43,43.43,7.23,10.80,33.0
,186709,,,1,CSE,9,4.510 .00,4.510 .00,51.77,,4.510 .00,57.63,57.63,6.40,10.35,38.1
,115208,400GM,,1,CSE,6,2.900 .00,2.900 .00,33.79,,2.900 .00,37.63,37.63,6.27,7.57,17.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
