Line,Product ID,Product Description,IND,Qty,UOM,Pack,Weight,GST%,Cost,Mrgn$,GST$,Total Cost ITEM,Total Val EXTENDED,Landed Unit Cost,SuggSell,GP%
,19106,ALLENS CHICOS190GM,P,1,CSE,12,2.510  10.00,2.510  10.00,16.08,,2.510  10.00,19.02,19.02,1.58,3.33,52.4
,25220,ALLENS PARTY MIX190GM,P,1,CSE,12,2.510  10.00,2.510  10.00,16.08,,2.510  10.00,19.02,19.02,1.58,3.33,52.4
,25288,ALLENS PARTY MIX RETRO190GM,P,1,CSE,12,2.530  10.00,2.530  10.00,16.08,,2.530  10.00,19.02,19.02,1.58,3.33,52.4
,21763,ALLENS STRAWBERRIES & CRM190GM,P,1,CSE,12,2.520  10.00,2.520  10.00,16.08,,2.520  10.00,19.02,19.02,1.58,3.33,52.4
,494974,B/GOLD BANANAS200GM,,1,CSE,12,2.790  10.00,2.790  10.00,12.19,,2.790  10.00,14.42,14.42,1.20,1.73,30.5
,386171,B/GOLD SNAKES500GM,,1,CSE,12,6.430  10.00,6.430  10.00,22.83,,6.430  10.00,26.96,26.96,2.24,3.33,32.5
,430556,B/GOLD SPEARMINT LEAVES  200GM,,1,CSE,12,2.670  10.00,2.670  10.00,16.71,,2.670  10.00,19.75,19.75,1.64,2.48,33.6
,312622,NAT/CONF DINOSAURS260GM,P,1,CSE,18,5.080  10.00,5.080  10.00,33.68,,5.080  10.00,39.74,39.74,2.20,2.49,11.3
,606424,PAS JUBES350GM,P,1,CSE,12,4.510  10.00,4.510  10.00,23.35,,4.510  10.00,27.58,27.58,2.29,2.49,7.7
,311207,PAS M/MALLOWS VAN/RSPBRY 280GM,P,1,CSE,10,2.930  10.00,2.930  10.00,19.46,,2.930  10.00,22.99,22.99,2.29,2.49,7.7
,480129,B/GOLD CHOC CT HONEYCOMB 150GM,,1,CSE,24,4.100  10.00,4.100  10.00,29.21,,4.100  10.00,34.49,34.49,1.43,3.12,53.9
,382240,DORITOS SALSA HOT300GM,P,1,CSE,8,4.340 .00,4.340 .00,15.85,,4.340 .00,16.30,16.30,2.03,2.50,18.5
,362986,MISSION BBQ CHIP SMKY SPCY230G,,1,CSE,6,1.890  10.00,1.890  10.00,11.67,,1.890  10.00,13.81,13.81,2.30,3.96,41.9
,2683,MISSION CORN CHP EX CHSE 230GM,,1,CSE,6,1.910  10.00,1.910  10.00,11.67,,1.910  10.00,13.81,13.81,2.30,3.96,41.9
,363005,MISSION CORN CHIP NACHOS  230G,,1,CSE,6,1.930  10.00,1.930  10.00,11.67,,1.930  10.00,13.81,13.81,2.30,3.96,41.9
,299162,SMITHS CRINKL CHS/ONION  170GM,P,1,CSE,12,2.500  10.00,2.500  10.00,23.13,,2.500  10.00,26.16,26.16,2.18,2.50,12.8
,17489,THINS CHIP LTE TANGY175GM,P,1,CSE,12,2.600  10.00,2.600  10.00,19.00,,2.600  10.00,22.45,22.45,1.87,2.00,6.5
,17366,THINS CHIP ORIGINAL175GM,P,1,CSE,12,2.610  10.00,2.610  10.00,19.00,,2.610  10.00,22.45,22.45,1.87,2.00,6.5
,17277,THINS CHIP SLT&VIN175GM,P,1,CSE,12,2.600  10.00,2.600  10.00,19.00,,2.600  10.00,22.45,22.45,1.87,2.00,6.5
,435572,,U/TOBY YGT TOPPS STRWBRY 185GM,1,CSE,10,2.260,10.00,21.10,,10.00,28.6,28.6,28.6,28.6,28.6
,634516,460GM,NES MILO,1,CSE,12,6.730,.00,76.56,,.00,15.2,15.2,15.2,15.2,15.2
,10259,250GM,NES NESQUIK CHOCOLATE,1,CSE,12,3.830,.00,27.22,,.00,29.2,29.2,29.2,29.2,29.2
,10144,,MOCC COFF F/DRY CLASSIC  100GM,1,CSE,6,2.340,.00,39.39,,.00,12.0,12.0,12.0,12.0,12.0
,450954,,MOCC COFF F/DRY DARK RST 100GM,1,CSE,6,2.350,.00,39.39,,.00,12.0,12.0,12.0,12.0,12.0
,10916,150GM,NESCAFE BLEND 43,1,CSE,12,6.390,.00,73.92,,.00,30.2,30.2,30.2,30.2,30.2
,382274,10PK,NESCAFE SACH CAPP SKIM,1,CSE,4,.780,.00,11.56,,.00,10.9,10.9,10.9,10.9,10.9
,450412,,BARISTA BROS DBL ESPRESS 500ML,1,CSE,12,6.830,10.00,24.56,,10.00,39.4,39.4,39.4,39.4,39.4
,14512,1L,D/DALE MILK F/CRM UHT,1,CSE,10,10.910,.00,12.90,,.00,13.8,13.8,13.8,13.8,13.8
,44127,,LIDDELLS MILK LACT/FR L/FAT 1L,1,CSE,12,13.090,.00,22.68,,.00,19.5,19.5,19.5,19.5,19.5
